Unnamed: 0,user,text,favorite_count,retweet_count,created_at,sentiment,scale
0,shakira,"Me emociona anunciar que @fpiesdescalzos participará en el Foro GEF&amp;WISE Medellín. El foro ""Más allá de la educación - Involucrando a toda la sociedad en el aprendizaje"", se realizará el próximo 24 de mayo. 

¡No te lo pierdas! https://t.co/t8xSGQkkMF #futureofeducation",8552,687,2023-03-30 18:45:43+00:00,neutral,0
1,shakira,Chiaroscuro https://t.co/xSfL9mO16k,293336,8342,2023-03-29 23:27:34+00:00,neutral,0
2,shakira,"Proud of Colombia for hosting regional leaders this week to discuss urgently investing in the foundations of learning.
Every child must be taught the basics of reading and math to reach their potential. Read more from @UNICEF here: https://t.co/8tXI6fqd5G",6516,716,2023-03-22 20:16:13+00:00,positive,1
3,shakira,Que linda noticia! Gracias por el apoyo! ❤️ https://t.co/isUTgdtSRX,30544,2306,2023-03-22 00:23:43+00:00,neutral,0
4,shakira,Loved seeing you Carson and reminiscing awesome times. My love to @NBCTheVoice cast and staff and my friends at @nbc! 🥰 https://t.co/0eOu81teMh,14685,741,2023-03-15 14:20:27+00:00,positive,1
5,shakira,Tune in tonight at 11:35pm EST for our performance on @FallonTonight @bizarrap https://t.co/JYUTFG412q,59751,3112,2023-03-11 02:23:34+00:00,neutral,0
6,shakira,"Hey guys - thanks for your messages that the Bzrp #53 song had disappeared off Spotify! We’ve been in touch with them and it should be back up now. 
Sorry you couldn’t listen when you wanted to, but you can go back now &amp; sing along as loud as possible ;-) 
https://t.co/HfPAdepAho",17490,1204,2023-03-09 22:34:32+00:00,positive,1
7,shakira,A todas mis hermanas y mujeres triple M… Feliz día!! #InternationalWomensDay  #DiaInternacionalDeLaMujer,64100,4930,2023-03-08 14:17:08+00:00,neutral,0
8,shakira,"Gracias a todos por el magnífico apoyo y por permitirme tener ya dos número uno globales en lo que va del 2023! 
Thank u all for the amazing support and giving me two worldwide number 1 of 2023!! ❤️🥳🥳 

https://t.co/H6DrQQzUfx https://t.co/HB08iRfCkn",53422,2942,2023-03-04 16:57:35+00:00,positive,1
9,shakira,"#FallonTonight 
@bizarrap @FallonTonight 
@jimmyfallon https://t.co/TxQBTFwvHe",49401,3307,2023-03-04 00:53:07+00:00,neutral,0
10,shakira,"Ha sido maravilloso ver volar a tantos niños que se han convertido en adolescentes modelo y universitarios ejemplares. Lo hemos logrado, claro que si se puede y vamos a seguir soñando estos sueños porque son realizables para tantos.",7053,450,2023-03-02 18:48:06+00:00,neutral,0
